url,state,city,address_slug
https://locations.tacobell.com/co/denver/6553-n--tower-rd-.html,co,denver,6553-n--tower-rd-
https://locations.tacobell.com/de/wilmington/1059-s-market-st-.html,de,wilmington,1059-s-market-st-
https://locations.tacobell.com/co/leadville/1717-poplar-st-.html,co,leadville,1717-poplar-st-
https://locations.tacobell.com/ct/east-haven/98-frontage-rd-.html,ct,east-haven,98-frontage-rd-
https://locations.tacobell.com/co/denver/2975-w-51st-ave.html,co,denver,2975-w-51st-ave
https://locations.tacobell.com/de/georgetown/1-georgetown-plaza.html,de,georgetown,1-georgetown-plaza
https://locations.tacobell.com/de/milford/649-n--dupont-blvd-.html,de,milford,649-n--dupont-blvd-
https://locations.tacobell.com/ct/new-haven/130-amity-road.html,ct,new-haven,130-amity-road
https://locations.tacobell.com/de/wilmington/1925-lancaster-ave.html,de,wilmington,1925-lancaster-ave
https://locations.tacobell.com/dc/washington/1400-defense-pentagon.html,dc,washington,1400-defense-pentagon
https://locations.tacobell.com/de/newark/2675-pulaski-highway.html,de,newark,2675-pulaski-highway
https://locations.tacobell.com/ct/waterbury/155-thomaston-avenue.html,ct,waterbury,155-thomaston-avenue
https://locations.tacobell.com/co/longmont/33-e--ken-pratt-blvd-.html,co,longmont,33-e--ken-pratt-blvd-
https://locations.tacobell.com/co/aurora/7480-s-gartrell-rd.html,co,aurora,7480-s-gartrell-rd
