item_id,name,category,is_breakfast,is_drink,serving_weight_grams,calories,fat_calories,total_fat,saturated_fat,trans_fat,polyunsaturated_fat,monounsaturated_fat,cholesterol,sodium,total_carb,fibers,sugars,protein
420794,Blue Moon Belgian White Bottle (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420798,Red Sangria (12 oz),JSON only,0,0,360.0,345.6,0.0,0.14,0.0,0.0,0.0,0.0,0.0,36.0,29.74,0.0,25.78,0.14
420800,High Noon,Freeze Test Items,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420843,Nachos BellGrande (2 Portions),JSON only,0,0,601.01,1469.31,686.46,77.08,12.66,0.44,20.14,43.75,43.11,2369.13,160.93,26.53,7.82,33.59
420874,Red Sangria (6 oz),JSON only,0,0,180.0,172.8,0.0,0.07,0.0,0.0,0.0,0.0,0.0,18.0,14.87,0.0,12.89,0.07
420875,Red Sangria (8 oz),JSON only,0,0,240.0,230.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,24.0,19.82,0.0,17.18,0.1
420876,White Sangria (8 oz),JSON only,0,0,240.0,225.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,26.4,19.84,0.0,17.6,0.1
420877,White Sangria (16 oz),JSON only,0,0,480.0,451.2,0.0,0.19,0.0,0.0,0.0,0.0,0.0,52.8,39.68,0.0,35.2,0.19
420878,White Sangria (6 oz),JSON only,0,0,180.0,169.2,0.0,0.07,0.0,0.0,0.0,0.0,0.0,19.8,14.88,0.0,13.2,0.07
420881,Grilled Cheese Burrito - Steak,INM Burritos,0,0,260.82,698.33,301.22,37.47,15.24,0.41,8.71,11.77,77.67,1519.68,62.09,4.28,4.96,28.17
420884,Triple Crunch Mexican Pizza,Test Items,0,0,326.02,808.04,367.48,41.87,11.37,0.52,9.4,20.26,55.62,1572.72,78.76,13.84,4.01,29.15
420886,$2 Grilled Chicken Burrito - Enchilada,Test Items,0,0,195.61,376.63,106.41,12.04,5.63,0.13,2.7,3.22,41.68,1143.62,48.52,3.18,3.03,18.55
420887,$2 Grilled Chicken Burrito - Cheesy Chipotle,Test Items,0,0,187.11,442.87,179.47,20.16,6.88,0.15,7.45,4.92,49.75,1039.51,47.22,2.81,2.98,18.15
420888,$2 Grilled Chicken Burrito - Caesar,Test Items,0,0,199.86,515.78,219.48,28.7,6.84,0.09,12.09,8.7,46.38,955.58,47.67,3.86,3.65,17.0
420889,Grilled Cheese Burrito - Chicken,INM Burritos,0,0,263.65,687.92,290.1,36.24,14.62,0.41,8.82,11.07,83.45,1499.02,61.7,4.47,4.26,28.74
422224,Flybird Prickly Pear Margarita,"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422225,Flybird Pina Colada,"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422226,Flybird Mojito,"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422227,Flybird Mangonada,"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422228,Flybird Lime Margarita,"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422229,Flybird Strawberry Margarita,"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422230,Flybird Strawberry Margarita (Can),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422231,Flybird Lime Margarita (Can),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422283,Triple Crunch Mexican Pizza - Veggie,Test Items,0,0,240.97,671.36,293.07,33.6,7.63,0.17,8.89,16.58,22.22,1048.64,72.73,10.52,4.01,19.61
423204,Hand Rolled Hazy IPA,JSON only,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423320,Cantina Chicken Crispy Taco,Cantina Chicken Menu,0,0,93.55,282.61,145.66,16.42,6.49,0.18,3.51,5.79,50.48,527.86,17.15,2.95,0.89,15.14
423321,Cantina Chicken Quesadilla,Cantina Chicken Menu,0,0,192.78,572.38,284.67,32.0,15.77,0.46,8.17,6.34,90.44,1338.87,42.46,3.52,3.3,28.63
423323,Cantina Chicken Soft Taco,Cantina Chicken Menu,0,0,116.23,209.37,86.16,9.98,3.57,0.06,3.6,2.52,36.3,528.39,18.4,2.47,1.96,11.63
423324,Cantina Chicken Bowl,Cantina Chicken Menu,0,0,338.78,483.82,206.0,23.78,7.01,0.17,6.12,10.2,73.78,1166.91,43.34,9.55,3.17,24.41
423325,Cantina Chicken Burrito,Cantina Chicken Menu,0,0,239.55,539.21,267.1,30.54,8.99,0.14,13.25,7.25,81.94,1184.49,42.06,4.82,3.86,24.31
423326,Nacho Chips (1.1 oz),Side Portions - Hidden,0,0,31.18,162.51,78.57,8.63,0.8,0.0,2.19,5.77,0.0,72.29,19.33,1.83,0.36,1.94
423645,Pico de Gallo (0.75 oz),Side Portions - Hidden,0,0,21.26,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.26,0.95,0.46,0.61,0.06
427267,Firestone 805 (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427268,Stella Artois (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427269,Modelo Especial (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427270,Blue Moon Belgian White (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427271,Coors Light (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427272,Elysian Space Dust IPA (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427273,Busch Light (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427286,Nachos BellGrande&reg; - Veggie Double Beans,Test Items,0,0,343.03,782.96,326.42,37.81,5.27,0.04,11.76,20.69,4.85,1317.49,93.68,17.75,4.56,17.3
429063,Breakfast California Crunchwrap,Breakfast (Regional),1,0,229.63,635.45,292.77,37.7,12.37,0.21,8.29,16.37,137.04,1331.73,53.29,4.64,2.96,20.85
430118,Elysian Space Dust IPA (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436225,Chicken Enchilada Burrito,Burritos,0,0,195.61,376.63,106.41,12.04,5.63,0.13,2.7,3.22,41.68,1143.62,48.52,3.18,3.03,18.55
