canonical_product_id,product_code,item_id,category,name_nutrition,category_nutrition,match_confidence,match_method
a7842808daf546d4,30185,282326,breakfast,Grande Toasted Breakfast Burrito - Bacon,INM Breakfast,1.1,rule
644eae939e191f99,30190,315243,breakfast,Grande Toasted Breakfast Burrito,Breakfast (Regional),1.1,rule
29e127932f182412,30152,208070,breakfast,Breakfast Quesadilla - Sausage,Breakfast (Regional),1.1,rule
8b0f42523e579b70,30151,208069,breakfast,Breakfast Quesadilla - Bacon,Breakfast (Regional),1.1,rule
4122871bcf7c2ee8,30153,208071,breakfast,Breakfast Quesadilla - Steak,Breakfast (Regional),1.1,rule
07aaa88238e1ba56,32079,208071,breakfast,Breakfast Quesadilla - Steak,Breakfast (Regional),0.767,rule_lo
5d5e229a8f17a8ff,30093,429063,breakfast,Breakfast California Crunchwrap,Breakfast (Regional),1.1,rule
1c65a5e8b929d0ec,30029,166711,breakfast,Breakfast Crunchwrap - Bacon,INM Breakfast,1.1,rule
ef68d91758248b61,30028,420115,breakfast,Breakfast Crunchwrap - Sausage Patty,INM Breakfast,0.85,rule
a1eaeacc92d061b6,32031,166958,breakfast,Breakfast Crunchwrap,Breakfast (Regional),1.1,rule
5cb728c8d64f3a26,30017,354897,breakfast,Hash Brown (V),Breakfast (Regional),0.767,rule_lo
ec3e04ac3652ae12,1440Main,169302,drinks,Orange Juice,Drinks,0.667,rule_lo
ac7323d0a3ec58bc,27033,851889,cantina-chicken-menu,Fajita Cheesy Street Chalupas - Cantina Chicken,Test Items,0.833,rule
55340b90cb85271e,27034,851888,new,Fajita Cheesy Street Chalupas - Steak,Test Items,0.8,rule
e67624276ddc5ba4,8014,811232,sides-sweets,Sweet Chipotle BBQ Sauce 1.5 oz,Side Portions - Hidden,0.671,rule_lo
a43a585ff2bb0c86,24546,312099,nachos,Grande Nachos - Grilled Chicken,Test Items,0.667,rule_lo
ae941d3db2bbc439,24547,312101,nachos,Grande Nachos - Steak,Test Items,1.1,rule
7d14612b4e542c66,24566,347187,nachos,Grande Nachos - Veggie,Test Items,1.1,rule
ce00e09e200b0c82,550520,442473,tacoloverspass,Taco Lover's Soft Taco,JSON only,1.1,rule
dc2d1bbb17b04067,550521,442471,tacoloverspass,Taco Lover's Soft Taco Supreme,JSON only,1.1,rule
7c3d28b03bb4dcd6,550518,442467,tacoloverspass,Taco Lover's Crunchy Taco,JSON only,1.1,rule
2a794a3db50d2b5a,550519,442468,tacoloverspass,Taco Lover's Crunchy Taco Supreme&reg;,JSON only,0.933,rule
b5a40a643c2400f7,550522,442470,tacoloverspass,Taco Lover's Nacho Cheese Doritos&reg; Locos Tacos,JSON only,0.889,rule
b8f511594b250548,550523,442469,tacoloverspass,Taco Lover's Nacho Cheese Doritos&reg; Locos Tacos Supreme&reg;,JSON only,0.9,rule
39448093d4409f73,550524,442472,tacoloverspass,Taco Lover's Spicy Potato Soft Taco,JSON only,1.1,rule
caede514ed1657dd,30208,442474,tacoloverspass,Taco Lover's Breakfast Taco - Sausage,JSON only,1.1,rule
c95b403e8e445dcb,30209,442475,tacoloverspass,Taco Lover's Breakfast Taco - Bacon,JSON only,1.1,rule
072544d77496d5c4,30210,442476,tacoloverspass,Taco Lover's Breakfast Taco - Potato,JSON only,1.1,rule
3d683904066366d6,23484,420881,new,Grilled Cheese Burrito - Steak,INM Burritos,0.8,rule
3ba1284f9031a1b7,23485,420881,new,Grilled Cheese Burrito - Steak,INM Burritos,0.8,rule
3cb2976fa69ca8ab,23370,420881,burritos,Grilled Cheese Burrito - Steak,INM Burritos,1.0,rule
8c52b7043cb870ef,23371,830306,burritos,Chicken Grilled Cheese Burrito,Test Items,1.1,rule
e4681e00fd4fe26b,30219,315243,breakfast,Grande Toasted Breakfast Burrito,Breakfast (Regional),1.1,rule
96eb77ff3d1c8722,30220,208071,breakfast,Breakfast Quesadilla - Steak,Breakfast (Regional),0.767,rule_lo
9a01dcfd2513dab5,30221,166958,breakfast,Breakfast Crunchwrap,Breakfast (Regional),1.1,rule
931c283e31bae4bd,24965,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,1.1,rule
60807401f591053d,24962,423320,cantina-chicken-menu,Cantina Chicken Crispy Taco,Cantina Chicken Menu,1.1,rule
61a00a1413c1d834,24961,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,1.1,rule
03c8a890e3770d51,24957,646120,deals-and-combos,Crispy Chicken Burrito - Avocado Ranch,Test Items,0.8,rule
24e076fb4284f869,24955,166758,deals-and-combos,Quesadilla - Chicken,INM Quesadillas,1.0,rule
cdd2616029a0f250,24956,166771,deals-and-combos,Crunchwrap Supreme&reg;,Specialties,0.767,rule_lo
d374e3344d81337b,24545,439525,nachos,Loaded Beef Nachos,Nachos,1.0,override
659d95173ac58031,3689Main,906627,new,Berry Burst Energy Refresca,Test Items,1.0,rule
b15ed9e3c6876c33,3690Main,906628,new,Electric Punch Energy Refresca,Test Items,1.0,rule
8d4885e01c3b05c0,26154,423320,cantina-chicken-menu,Cantina Chicken Crispy Taco,Cantina Chicken Menu,0.8,rule
4f2d45d2fa98f86c,26155,423325,cantina-chicken-menu,Cantina Chicken Burrito,Cantina Chicken Menu,0.75,rule_lo
9356a8def29af602,26153,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,0.75,rule_lo
6eda189fd30e05fc,26150,166804,deals-and-combos,Mexican Pizza,Specialties,1.1,rule
8f27e34fccb8c1ee,26148,166758,deals-and-combos,Quesadilla - Chicken,INM Quesadillas,1.0,rule
5851a4634246d41b,26149,166771,deals-and-combos,Crunchwrap Supreme&reg;,Specialties,0.767,rule_lo
1c8a08892dc3186b,3670Main,646138,new,Strawberry Lime Refresca Freeze (16 oz),Test Items,0.767,rule_lo
edd004017b567226,5283Main,906579,new,Caramel Apple Empanada Chiller (16 oz),Test Items,0.767,rule_lo
0f9cd7d49335b318,3656Main,829822,new,Strawberry Passionfruit Limonada,New,1.1,rule
34cfef90f3d2c2ff,3657Main,829826,new,Mango Peach Limonada,New,1.1,rule
10f9208b064fd51a,3658Main,889511,new,Dragonfruit Strawberry Limonada,New,1.1,rule
3cf689558002f3b7,3682Main,651911,new,Beekeeper Coffee Horchata,Test Items,1.1,rule
6fffd49fb9aa44d9,3681Main,651911,new,Beekeeper Coffee Horchata,Test Items,0.767,rule_lo
53b6158d5495ef13,3675Main,652316,new,Rockstar Original Can,Test Items,0.75,rule_lo
49e1c805c48b4a23,23778,208068,new,Chips and Green Chile Queso,Test Items,1.0,rule
68bb8c48def03280,91264,166711,breakfast,Breakfast Crunchwrap - Bacon,INM Breakfast,1.1,rule
07c220325ebad69e,91263,420115,breakfast,Breakfast Crunchwrap - Sausage Patty,INM Breakfast,0.85,rule
13e230098af58a6f,91304,166958,breakfast,Breakfast Crunchwrap,Breakfast (Regional),1.1,rule
